title,platform,date,user_score,link,developers,genres
Aura-Aura Climber,DS,22-Feb-10,6,/game/ds/aura-aura-climber,['Nintendo'],"['Action', 'General', 'General']"
Spotto!,DS,15-Feb-10,5.8,/game/ds/spotto!,['Intelligent Systems'],"['Action', 'Adventure', 'General', 'General']"
Link 'n' Launch,DS,8-Feb-10,,/game/ds/link-n-launch,['Intelligent Systems'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
True Swing Golf Express,DS,1-Feb-10,,/game/ds/true-swing-golf-express,['T&E Soft'],"['Sports', 'Traditional', 'Golf', 'Sim', 'Sim']"
Number Battle,DS,25-Jan-10,6.6,/game/ds/number-battle,['Nintendo'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'Logic', 'General']"
Glory of Heracles,DS,18-Jan-10,7.4,/game/ds/glory-of-heracles,['Paon Corporation'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style']"
Starship Defense,DS,18-Jan-10,7.5,/game/ds/starship-defense,['Q-Games'],"['Strategy', 'Real-Time', 'Sci-Fi', 'Sci-Fi', 'Defense']"
Touch Solitaire,DS,11-Jan-10,,/game/ds/touch-solitaire,['Nintendo'],"['Miscellaneous', 'Board Games', 'Board Games']"
Phoenix Wright: Ace Attorney,WII,11-Jan-10,8.6,/game/wii/phoenix-wright-ace-attorney,['Capcom'],"['Adventure', 'First-Person', 'Visual Novel', 'Modern', 'Modern']"
Trajectile,DS,4-Jan-10,,/game/ds/trajectile,['Q-Games'],"['Action', 'General', 'General']"
Master of Illusion Express: Psychic Camera,DS,28-Dec-09,,/game/ds/master-of-illusion-express-psychic-camera,['Nintendo'],"['Miscellaneous', 'General', 'General']"
Pilotwings,WII,28-Dec-09,,/game/wii/pilotwings,['Nintendo'],"['Simulation', 'Flight', 'Civilian Plane']"
Super Smash Bros.,WII,21-Dec-09,7.9,/game/wii/super-smash-bros,['HAL Labs'],"['Action', 'Fighting', '3D']"
Eco Shooter: Plant 530,WII,21-Dec-09,,/game/wii/eco-shooter-plant-530,['Intelligent Systems'],"['Action', 'Adventure', 'General', 'Shooter', 'First-Person', 'Fantasy', 'Arcade']"
Master of Illusion Express: Matchmaker,DS,14-Dec-09,,/game/ds/master-of-illusion-express-matchmaker,['Nintendo'],"['Miscellaneous', 'General', 'General']"
The Legend of Zelda: Spirit Tracks,DS,7-Dec-09,8,/game/ds/the-legend-of-zelda-spirit-tracks,['Nintendo'],"['Action Adventure', 'Fantasy', 'Fantasy', 'Open-World']"
Master of Illusion Express: Mind Probe,DS,30-Nov-09,,/game/ds/master-of-illusion-express-mind-probe,['Nintendo'],"['Miscellaneous', 'General', 'General']"
Electroplankton: Lumiloop,DS,23-Nov-09,,/game/ds/electroplankton-lumiloop,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Sun-Animalcule,DS,23-Nov-09,,/game/ds/electroplankton-sun-animalcule,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Varvoice,DS,23-Nov-09,,/game/ds/electroplankton-varvoice,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Marine-Crystals,DS,23-Nov-09,,/game/ds/electroplankton-marine-crystals,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Luminarrow,DS,23-Nov-09,,/game/ds/electroplankton-luminarrow,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Super Mario Kart,WII,23-Nov-09,7.4,/game/wii/super-mario-kart,['Nintendo'],"['Driving', 'Racing', 'Kart']"
Pokemon Rumble,WII,16-Nov-09,8.3,/game/wii/pokemon-rumble,['Ambrella'],"['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '2D', '3D']"
Art Style: DIGIDRIVE,DS,16-Nov-09,6.8,/game/ds/art-style-digidrive,['Q-Games'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'General']"
New Super Mario Bros. Wii,WII,15-Nov-09,8.3,/game/wii/new-super-mario-bros-wii,['Nintendo'],"['Action', 'Platformer', 'Platformer', '2D', '2D']"
Electroplankton: Beatnes,DS,9-Nov-09,,/game/ds/electroplankton-beatnes,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Trapy,DS,9-Nov-09,,/game/ds/electroplankton-trapy,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Nanocarp,DS,9-Nov-09,,/game/ds/electroplankton-nanocarp,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Hanenbow,DS,9-Nov-09,7.5,/game/ds/electroplankton-hanenbow,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Electroplankton: Rec-Rec,DS,9-Nov-09,,/game/ds/electroplankton-rec-rec,['Nintendo'],"['Action', 'Miscellaneous', 'Rhythm', 'Music Maker', 'Music Maker', 'Music']"
Excitebike: World Rally,WII,9-Nov-09,7.5,/game/wii/excitebike-world-rally,['Monster Games Inc.'],"['Driving', 'Racing', 'Arcade', 'Motorcycle', 'Other', 'Motocross', 'Motocross']"
Style Savvy,DS,2-Nov-09,8,/game/ds/style-savvy,['syn Sophia'],"['Simulation', 'General', 'General', 'Virtual', 'Career']"
Sparkle Snapshots,DS,2-Nov-09,,/game/ds/sparkle-snapshots,['Nintendo'],"['Miscellaneous', 'Edutainment']"
